Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Mozambique,MOZ,2021,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,11.95
Mozambique,MOZ,2020,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,11.5
Mozambique,MOZ,2019,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,11.56
Mozambique,MOZ,2018,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,11.7
Mozambique,MOZ,2017,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,11.92
Mozambique,MOZ,2016,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,12.29
Mozambique,MOZ,2015,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,12.54
Mozambique,MOZ,2014,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,12.94
Mozambique,MOZ,2013,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,13.4
Mozambique,MOZ,2012,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,13.35
Mozambique,MOZ,2011,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,14.14
Mozambique,MOZ,2010,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,12.66
Mozambique,MOZ,2009,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,14.82
Mozambique,MOZ,2008,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,14.49
Mozambique,MOZ,2007,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,15.17
Mozambique,MOZ,2006,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,20.21
Mozambique,MOZ,2005,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,21.44
Mozambique,MOZ,2004,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,22.44
Mozambique,MOZ,2003,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,23.38
Mozambique,MOZ,2002,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,23.75
Mozambique,MOZ,2001,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,25.24
Mozambique,MOZ,2000,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,26.91
Mozambique,MOZ,2024,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,12.3
Mozambique,MOZ,2023,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,8.9
Mozambique,MOZ,2022,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,5
Mozambique,MOZ,2021,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,3.8
Mozambique,MOZ,2020,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.6
Mozambique,MOZ,2019,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,5.2
Mozambique,MOZ,2018,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,8
Mozambique,MOZ,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.4
Mozambique,MOZ,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.7
Mozambique,MOZ,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.9
Mozambique,MOZ,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.7
Mozambique,MOZ,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.8
Mozambique,MOZ,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.3
Mozambique,MOZ,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,3.8
Mozambique,MOZ,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1.4
Mozambique,MOZ,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.2
Mozambique,MOZ,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.3
Mozambique,MOZ,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1.5
Mozambique,MOZ,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2
Mozambique,MOZ,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1.5
Mozambique,MOZ,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1
Mozambique,MOZ,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1
Mozambique,MOZ,2024,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,79.8
Mozambique,MOZ,2023,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,78.9
Mozambique,MOZ,2022,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,79.4
Mozambique,MOZ,2021,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,77.4
Mozambique,MOZ,2020,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,74.8
Mozambique,MOZ,2019,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,72.3
Mozambique,MOZ,2018,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,72.2
Mozambique,MOZ,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,60.5
Mozambique,MOZ,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,66.2
Mozambique,MOZ,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,68
Mozambique,MOZ,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,68
Mozambique,MOZ,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,61.6
Mozambique,MOZ,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,59.9
Mozambique,MOZ,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,54.5
Mozambique,MOZ,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,56.5
Mozambique,MOZ,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,43.1
Mozambique,MOZ,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,38.9
Mozambique,MOZ,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,37.5
Mozambique,MOZ,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,38.5
Mozambique,MOZ,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,35.9
Mozambique,MOZ,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,33.4
Mozambique,MOZ,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,25
Mozambique,MOZ,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,28.3
Mozambique,MOZ,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,20.1
Mozambique,MOZ,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,23.3
Mozambique,MOZ,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,20.6718463897705
Mozambique,MOZ,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,18.1166152954102
Mozambique,MOZ,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,25.8
Mozambique,MOZ,2024,Access to electricity (% of population),EG.ELC.ACCS.ZS,36.9
Mozambique,MOZ,2023,Access to electricity (% of population),EG.ELC.ACCS.ZS,36
Mozambique,MOZ,2022,Access to electricity (% of population),EG.ELC.ACCS.ZS,33.2
Mozambique,MOZ,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,31.5
Mozambique,MOZ,2020,Access to electricity (% of population),EG.ELC.ACCS.ZS,30.6
Mozambique,MOZ,2019,Access to electricity (% of population),EG.ELC.ACCS.ZS,29.7
Mozambique,MOZ,2018,Access to electricity (% of population),EG.ELC.ACCS.ZS,31.1
Mozambique,MOZ,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,24.3
Mozambique,MOZ,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,26.2
Mozambique,MOZ,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,24
Mozambique,MOZ,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,24.8
Mozambique,MOZ,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,22.4
Mozambique,MOZ,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,21.2
Mozambique,MOZ,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,20.2
Mozambique,MOZ,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,18.9
Mozambique,MOZ,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,15
Mozambique,MOZ,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,13.6
Mozambique,MOZ,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,12.4
Mozambique,MOZ,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,13
Mozambique,MOZ,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,11.8
Mozambique,MOZ,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,10.7
Mozambique,MOZ,2003,Access to electricity (% of population),EG.ELC.ACCS.ZS,8.1
Mozambique,MOZ,2002,Access to electricity (% of population),EG.ELC.ACCS.ZS,8.4
Mozambique,MOZ,2001,Access to electricity (% of population),EG.ELC.ACCS.ZS,5.7
Mozambique,MOZ,2000,Access to electricity (% of population),EG.ELC.ACCS.ZS,6.1
Mozambique,MOZ,1999,Access to electricity (% of population),EG.ELC.ACCS.ZS,4.87912368774414
Mozambique,MOZ,1998,Access to electricity (% of population),EG.ELC.ACCS.ZS,3.66317558288574
Mozambique,MOZ,1997,Access to electricity (% of population),EG.ELC.ACCS.ZS,6.6
Mozambique,MOZ,2021,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2020,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2019,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2018,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2017,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2016,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2015,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2014,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2013,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2012,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2011,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2010,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2009,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2008,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2007,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2006,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2005,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2004,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2003,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2002,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2001,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,2000,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,1999,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,1998,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,1997,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,1996,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,1995,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,1994,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Mozambique,MOZ,1993,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,4.04040404040404
Mozambique,MOZ,1992,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,11.6945107398568
Mozambique,MOZ,1991,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,16.5966386554622
Mozambique,MOZ,1990,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,13.6659436008677
Mozambique,MOZ,2022,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,16.295122200634
Mozambique,MOZ,2021,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,17.0174415522451
Mozambique,MOZ,2020,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,16.4879638389572
Mozambique,MOZ,2019,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,20.6258890469417
Mozambique,MOZ,2018,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,18.2040959215824
Mozambique,MOZ,2017,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,19.5124716553288
Mozambique,MOZ,2016,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,17.1335299073294
Mozambique,MOZ,2015,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,6.97272481771537
Mozambique,MOZ,2014,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,1.30595881674057
Mozambique,MOZ,2013,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,1.41737032569361
Mozambique,MOZ,2012,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.72132020228906
Mozambique,MOZ,2011,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.646052236565596
Mozambique,MOZ,2010,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.113636363636364
Mozambique,MOZ,2009,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.0764391133062856
Mozambique,MOZ,2008,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.0856615709014233
Mozambique,MOZ,2007,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.0806601724886765
Mozambique,MOZ,2006,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.135336310732169
Mozambique,MOZ,2005,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.157539384846212
Mozambique,MOZ,2004,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.39142273655548
Mozambique,MOZ,2003,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.338023022108533
Mozambique,MOZ,2002,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.298179535467671
Mozambique,MOZ,2001,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.369778973022943
Mozambique,MOZ,2000,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.453421269579555
Mozambique,MOZ,1999,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.31055900621118
Mozambique,MOZ,1998,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.392955901615485
Mozambique,MOZ,1997,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,2.77227722772277
Mozambique,MOZ,1996,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,5.60165975103734
Mozambique,MOZ,1995,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,7.0048309178744
Mozambique,MOZ,1994,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,7.26817042606516
Mozambique,MOZ,1993,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,12.1212121212121
Mozambique,MOZ,1992,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,21.7183770883055
Mozambique,MOZ,1991,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,31.0924369747899
Mozambique,MOZ,1990,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,36.8763557483731
Mozambique,MOZ,2023,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,82.7800934063175
Mozambique,MOZ,2022,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,82.6967326277036
Mozambique,MOZ,2021,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,81.9878081102571
Mozambique,MOZ,2020,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,82.5257515240698
Mozambique,MOZ,2019,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,78.6440499394195
Mozambique,MOZ,2018,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,81.086284347471
Mozambique,MOZ,2017,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,79.6848429883233
Mozambique,MOZ,2016,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,82.1575234284511
Mozambique,MOZ,2015,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,92.3097694010909
Mozambique,MOZ,2014,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,98.2993197278912
Mozambique,MOZ,2013,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,98.2242176506064
Mozambique,MOZ,2012,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,98.8820867713601
Mozambique,MOZ,2011,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,98.9552686880817
Mozambique,MOZ,2010,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,99.5633971291866
Mozambique,MOZ,2009,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,99.6648438878109
Mozambique,MOZ,2008,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,99.5914602003163
Mozambique,MOZ,2007,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,99.6649500527393
Mozambique,MOZ,2006,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,99.5872242522669
Mozambique,MOZ,2005,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,99.5048762190548
Mozambique,MOZ,2004,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,99.28522804629
Mozambique,MOZ,2003,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,99.3056824410744
Mozambique,MOZ,2002,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,99.450721908349
Mozambique,MOZ,2001,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,99.5125640810152
Mozambique,MOZ,2000,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,99.4641384995878
Mozambique,MOZ,1999,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,99.5600414078675
Mozambique,MOZ,1998,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,99.5051666424101
Mozambique,MOZ,1997,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,96.7326732673267
Mozambique,MOZ,1996,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,93.1535269709544
Mozambique,MOZ,1995,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,91.5458937198068
Mozambique,MOZ,1994,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,91.7293233082707
Mozambique,MOZ,1993,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,86.8686868686869
Mozambique,MOZ,1992,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,77.5656324582339
Mozambique,MOZ,1991,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,67.8571428571429
Mozambique,MOZ,1990,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,61.6052060737527
Mozambique,MOZ,2023,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,16.6223070356049
Mozambique,MOZ,2022,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,17.2777010788976
Mozambique,MOZ,2021,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,15.5314073681421
Mozambique,MOZ,2020,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,14.5469833928947
Mozambique,MOZ,2019,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,14.5814676289311
Mozambique,MOZ,2018,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,15.5358497170527
Mozambique,MOZ,2017,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,14.7545629747194
Mozambique,MOZ,2016,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,13.119932610298
Mozambique,MOZ,2015,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,13.7603283469244
Mozambique,MOZ,2014,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,14.7594752186589
Mozambique,MOZ,2013,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,14.018628962005
Mozambique,MOZ,2012,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,13.4349214799042
Mozambique,MOZ,2011,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,12.3506454518163
Mozambique,MOZ,2010,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,14.694976076555
Mozambique,MOZ,2009,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,14.3646733697889
Mozambique,MOZ,2008,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,14.7865050079072
Mozambique,MOZ,2007,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,14.462989390085
Mozambique,MOZ,2006,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,14.0411422384626
Mozambique,MOZ,2005,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,12.2205551387847
Mozambique,MOZ,2004,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,13.9635806671205
Mozambique,MOZ,2003,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,12.6804312077471
Mozambique,MOZ,2002,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,10.5853735091023
Mozambique,MOZ,2001,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,10.5975292041348
Mozambique,MOZ,2000,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,10.0886232481451
